Order26	POAexemptCode	Description
01238	B90.0	Sequelae of central nervous system tuberculosis
01239	B90.1	Sequelae of genitourinary tuberculosis
01240	B90.2	Sequelae of tuberculosis of bones and joints
01241	B90.8	Sequelae of tuberculosis of other organs
01242	B90.9	Sequelae of respiratory and unspecified tuberculosis
01243	B91	Sequelae of poliomyelitis
01244	B92	Sequelae of leprosy
01246	B94.0	Sequelae of trachoma
01247	B94.1	Sequelae of viral encephalitis
01248	B94.2	Sequelae of viral hepatitis
01249	B94.8	Sequelae of other specified infectious and parasitic diseases
01250	B94.9	Sequelae of unspecified infectious and parasitic disease
04742	E64.0	Sequelae of protein-calorie malnutrition
04743	E64.1	Sequelae of vitamin A deficiency
04744	E64.2	Sequelae of vitamin C deficiency
04745	E64.3	Sequelae of rickets
04746	E64.8	Sequelae of other nutritional deficiencies
04747	E64.9	Sequelae of unspecified nutritional deficiency
11663	I25.2	Old myocardial infarction
12159	I69.00	Unspecified sequelae of nontraumatic subarachnoid hemorrhage
12161	I69.010	Attention and concentration deficit following nontraumatic subarachnoid hemorrhage
12162	I69.011	Memory deficit following nontraumatic subarachnoid hemorrhage
12163	I69.012	Visuospatial deficit and spatial neglect following nontraumatic subarachnoid hemorrhage
12164	I69.013	Psychomotor deficit following nontraumatic subarachnoid hemorrhage
12165	I69.014	Frontal lobe and executive function deficit following nontraumatic subarachnoid hemorrhage
12166	I69.015	Cognitive social or emotional deficit following nontraumatic subarachnoid hemorrhage
12167	I69.018	Other symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
12168	I69.019	Unspecified symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
12170	I69.020	Aphasia following nontraumatic subarachnoid hemorrhage
12171	I69.021	Dysphasia following nontraumatic subarachnoid hemorrhage
12172	I69.022	Dysarthria following nontraumatic subarachnoid hemorrhage
12173	I69.023	Fluency disorder following nontraumatic subarachnoid hemorrhage
12174	I69.028	Other speech and language deficits following nontraumatic subarachnoid hemorrhage
12176	I69.031	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
12177	I69.032	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
12178	I69.033	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
12179	I69.034	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
12180	I69.039	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
12182	I69.041	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
12183	I69.042	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
12184	I69.043	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
12185	I69.044	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
12186	I69.049	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
12188	I69.051	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side
12189	I69.052	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left dominant side
12190	I69.053	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
12191	I69.054	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
12192	I69.059	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting unspecified side
12194	I69.061	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right dominant side
12195	I69.062	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left dominant side
12196	I69.063	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
12197	I69.064	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
